"","Var1","PISCO","MOLLENDO","ILO","CHIMBOTE","CALLAO","TAMBO DE MORA","HUACHO","LA PLANCHADA","SUPE","VEGUETA","PIMENTEL","PARACHIQUE","CHANCAY","CHICAMA","PAITA","HUARMEY","PUCUSANA","ATICO","SALAVERRY","CASMA","SAMANCO","NA"
"1",1972,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",1974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",1975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",1976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1982,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",1983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",1984,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",1985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",1986,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",1987,17,0,17,110,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",1988,20,0,2,239,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1989,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",1990,2,0,1,46,8,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1991,27,0,2,176,49,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",1992,59,0,1,197,100,0,16,0,3,22,2,1,0,0,0,0,0,0,0,0,0,0
"22",1993,397,0,118,306,488,0,88,0,2,18,0,0,1,0,0,0,0,0,0,0,0,0
"23",1994,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",1995,687,15,496,926,746,372,183,56,111,72,0,0,512,439,18,103,0,0,0,0,0,0
"25",1996,897,221,829,4305,861,824,1126,39,1112,308,0,591,1677,2779,666,737,23,0,0,0,0,0
"26",1997,410,294,1457,282,110,130,130,129,241,119,24,204,496,1300,228,143,0,104,124,0,0,0
