Año;PA;PE;PM;CA;SY;CE;SO;CM;HY;SU;VE;HO;CY;CO;PU;TM;PO;AT;PL;MO;IO;Años
1972;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
1973;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1974;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1977;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1978;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1980;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2
1982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5;9
1983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1984;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
1985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1986;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
1987;0;0;0;0;0;41;0;0;0;0;0;0;0;3;0;0;8;0;0;0;2;54
1988;0;0;0;0;0;160;0;0;0;0;0;0;0;8;0;1;18;0;0;0;3;190
1989;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
1990;0;0;0;0;0;46;0;0;0;0;0;35;0;7;0;0;2;0;0;0;1;91
1991;0;0;0;0;0;172;0;0;0;0;0;8;0;49;0;0;16;0;2;0;1;248
1992;0;1;2;0;0;193;0;0;0;3;22;16;0;102;0;0;61;0;0;0;1;401
1993;0;0;0;0;0;313;0;0;0;1;17;81;1;450;0;0;322;0;0;0;107;1292
1994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;1;8
1995;16;0;0;450;0;898;0;0;106;112;72;182;519;734;0;378;644;0;56;16;486;4669
1996;683;601;0;2820;0;4369;0;0;744;1123;311;1114;1704;872;24;831;907;0;40;224;840;17207
1997;231;207;24;1278;126;258;0;0;142;242;119;133;498;110;0;131;395;108;135;299;1394;5830
1998;1;2;0;40;1;277;2;6;30;65;82;132;753;480;0;333;424;359;164;215;1144;4510
1999;617;378;0;842;2;2931;143;507;608;937;837;937;2462;756;0;728;1399;459;379;795;1726;17443
2000;1100;802;0;2085;60;3430;51;716;472;990;1208;1114;2428;1086;0;1306;2237;282;265;361;1021;21014
2001;732;529;0;1141;9;2126;20;589;385;634;351;370;877;654;0;488;711;42;3;11;99;9771
2002;1932;1783;0;1666;0;3992;183;805;810;1066;675;1088;2125;744;0;911;1782;791;568;1081;3383;25385
2003;2059;2937;0;2255;0;2979;255;512;891;588;694;691;1157;867;0;482;1014;106;191;243;1311;19232
2004;1842;2817;0;2925;3;4911;811;712;911;1300;1252;1148;2027;1193;0;454;610;345;253;439;3219;27172
2005;378;2072;0;700;0;1621;391;215;397;932;435;443;869;341;0;399;936;1005;675;633;1309;13751
2006;467;995;0;552;0;851;199;99;194;449;132;220;399;229;0;147;454;475;436;509;1354;8161
2007;399;99;0;0;0;804;65;6;161;426;91;247;293;322;0;28;78;244;252;286;656;4457
2008;88;128;0;0;0;360;130;61;187;372;99;220;297;214;0;119;175;0;30;48;435;2963
2009;423;985;0;538;0;2611;494;0;344;487;247;209;481;807;0;398;767;469;287;161;683;10391
2010;184;292;0;488;20;2288;311;0;118;170;27;49;198;963;0;175;430;67;52;37;805;6674
2011;694;765;0;398;0;1944;219;0;155;513;281;295;660;1013;0;429;855;222;205;318;568;9534
2012;246;600;0;390;0;1873;179;0;36;232;118;126;382;746;0;176;488;168;133;151;332;6376
2013;123;14;0;680;0;1319;344;0;150;506;340;249;438;785;0;152;395;90;107;187;351;6230
2014;70;0;0;434;0;375;58;0;1;187;263;207;342;5;0;73;329;63;171;79;278;2935
2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;15;16;14;64
2016;88;167;0;727;0;21;14;0;0;213;241;200;208;173;0;65;104;98;191;153;238;2901
2017;139;379;0;1196;3;1497;84;0;0;335;244;313;519;388;0;289;1395;201;175;195;292;7644
2018;154;302;0;1916;0;2776;0;0;0;738;607;600;736;362;0;371;931;73;128;286;631;10611
2019;62;376;0;1760;0;1760;0;0;0;414;295;302;369;342;0;233;589;137;87;221;184;7131
2020;10;44;0;148;0;1150;0;0;0;55;59;44;55;0;0;63;89;0;0;0;0;1717
2021;8;17;0;12;0;824;0;0;0;31;27;25;30;0;0;15;95;0;0;0;20;1104
2022;20;514;0;686;0;1853;0;0;0;489;394;461;425;13;0;323;478;0;0;15;332;6003
2023;23;335;0;1083;0;1347;1;0;0;309;282;391;447;494;0;275;260;0;0;2;70;5319
2024;7;136;0;52;0;92;0;0;0;26;22;28;21;33;0;26;33;0;0;0;0;476
Puertos;12796;18277;26;27262;224;52466;3954;4228;6842;13945;9844;11678;21720;15345;24;9799;19439;5823;5000;6987;23297;431515
